City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,baotou,40.6522,109.8222,-10.22,80,83,2.34,CN,1706896971
83,tazovsky,67.4667,78.7,-10.38,91,100,6.58,RU,1706896971
84,ulladulla,-35.35,150.4667,17.64,80,75,1.48,AU,1706896884
85,awjilah,29.1081,21.2869,13.85,53,96,2.24,LY,1706896971
86,hermanus,-34.4187,19.2345,23.04,79,37,3.59,ZA,1706896972
87,chonchi,-42.6128,-73.8092,17.56,88,98,3.51,CL,1706896972
88,anadyr,64.75,177.4833,-15.72,60,100,10.0,RU,1706896972
89,lebu,-37.6167,-73.65,20.25,78,54,4.76,CL,1706896972
90,kristiansund,63.1115,7.732,9.03,93,75,15.95,NO,1706896973
91,chibougamau,49.9168,-74.3659,-11.21,73,100,3.09,CA,1706896973
92,isafjordur,66.0755,-23.124,-2.98,93,100,4.12,IS,1706896973
93,kruisfontein,-34.0033,24.7314,23.27,85,55,3.24,ZA,1706896973
94,chenzhou,25.8,113.0333,3.48,96,100,1.69,CN,1706896974
95,sanming,26.2486,117.6186,16.59,96,99,1.15,CN,1706896974
96,ushuaia,-54.8,-68.3,8.79,61,100,3.09,AR,1706896840
97,parkes,-33.1333,148.1833,17.42,50,0,2.3,AU,1706896954
98,invercargill,-46.4,168.35,8.9,90,85,1.79,NZ,1706896801
99,tshabong,-26.05,22.45,30.67,23,96,2.26,BW,1706896975
100,del rio,29.3627,-100.8968,18.22,77,100,6.69,US,1706896805
101,udachny,66.4167,112.4,-29.78,77,93,1.34,RU,1706896975
102,howard springs,-12.497,131.047,27.95,94,100,5.48,AU,1706896975
103,punta arenas,-53.15,-70.9167,6.06,83,100,7.2,CL,1706896976
104,port elizabeth,-33.918,25.5701,24.5,95,75,7.2,ZA,1706896815
105,calatayud,41.3535,-1.6432,11.8,72,10,0.46,ES,1706896976
106,gadzhiyevo,69.2551,33.3362,-13.57,93,78,3.98,RU,1706896976
107,bilibino,68.0546,166.4372,-31.96,94,41,2.15,RU,1706896976
108,tamanrasset,22.785,5.5228,17.95,12,0,4.12,DZ,1706896977
109,assai,-23.3733,-50.8414,31.92,25,4,2.76,BR,1706896977
110,meadow lakes,61.6247,-149.6011,-21.87,81,42,1.26,US,1706896977
111,panindicuaro,19.9667,-101.7667,23.57,32,0,1.11,MX,1706896978
112,kimberley,-28.7323,24.7623,19.83,100,75,1.03,ZA,1706896978
113,kothi,24.75,80.7833,16.11,50,1,3.14,IN,1706896978
114,virginia,37.5481,-77.4467,13.05,59,100,3.6,US,1706896968
115,kapuskasing,49.4169,-82.4331,-11.0,73,75,1.54,CA,1706896979
116,phang nga,8.4509,98.5298,25.02,84,50,0.95,TH,1706896979
117,micheweni,-4.9667,39.8333,27.4,76,100,4.56,TZ,1706896979
118,charcas,23.1333,-101.1167,19.41,34,0,6.41,MX,1706896979
119,al bawiti,28.3492,28.8659,10.83,45,0,2.41,EG,1706896979
120,pocone,-16.2567,-56.6228,33.02,43,94,2.19,BR,1706896980
121,stanley,54.868,-1.6985,11.01,85,75,9.26,GB,1706896980
122,tolanaro,-25.0319,46.9987,23.04,88,100,4.12,MG,1706896980
123,cajati,-24.7361,-48.1228,24.64,95,60,1.72,BR,1706896980
124,benjamin constant,-4.3831,-70.0311,32.07,70,40,2.57,BR,1706896980
